shader,stage,bytes,sample_call_sites,texture_load_call_sites,ir_branch_sites,hash_mismatches
collision_visualizer.hlsl,vs,7248,0,0,0,
collision_visualizer.hlsl,ps,5084,0,0,2,
generate_mips.hlsl,cs,6936,9,0,13,
grid_line.hlsl,vs,6720,0,0,19,
grid_line.hlsl,ps,5308,0,0,7,
image_pair.hlsl,vs,3092,0,0,0,
image_pair.hlsl,ps,5412,7,0,13,
launcher_laser.hlsl,vs,4252,0,0,0,
launcher_laser.hlsl,ps,2960,0,0,0,
lit_textured.hlsl,vs,9864,0,0,15,
lit_textured.hlsl,ps,65400,103,0,93,
lit_textured_instanced.hlsl,vs,9972,0,0,0,
lit_textured_instanced.hlsl,ps,64764,52,0,96,
paired_outline.hlsl,vs,5760,0,0,12,
paired_outline.hlsl,ps,5484,0,2,2,
post_smaa_blend.hlsl,vs,4348,0,0,0,
post_smaa_blend.hlsl,ps,6048,6,0,3,
post_smaa_edges.hlsl,vs,4500,0,0,0,
post_smaa_edges.hlsl,ps,5964,7,0,2,
post_smaa_weights.hlsl,vs,4620,0,0,0,
post_smaa_weights.hlsl,ps,9588,35,0,37,
post_tonemap.hlsl,vs,3104,0,0,0,
post_tonemap.hlsl,ps,9104,16,0,7,
post_volumetric_light.hlsl,vs,3104,0,0,0,
post_volumetric_light.hlsl,ps,6420,3,0,12,
reflect.rt.hlsl,lib,13160,20,0,39,
shadow_depth.hlsl,vs,5900,0,0,3,
shadow_depth.hlsl,ps,2848,0,0,0,
shadow_depth_instanced.hlsl,vs,6120,0,0,0,
shadow_depth_instanced.hlsl,ps,2848,0,0,0,
sky_atmosphere.hlsl,vs,3092,0,0,0,
sky_atmosphere.hlsl,ps,21840,0,0,6,
soft_additive_ribbon.hlsl,vs,4616,0,0,0,
soft_additive_ribbon.hlsl,ps,3624,0,0,0,
solid_color.hlsl,vs,3828,0,0,0,
solid_color.hlsl,ps,3492,0,0,0,
solid_color_batch.hlsl,vs,4148,0,0,0,
solid_color_batch.hlsl,ps,2972,0,0,0,
surface_blades.hlsl,vs,7480,0,0,9,
surface_blades.hlsl,ps,3232,0,0,0,
text.hlsl,vs,4432,0,0,0,
text.hlsl,ps,4684,1,0,0,
trajectory_ribbon.hlsl,vs,9152,0,0,44,
trajectory_ribbon.hlsl,ps,5604,0,0,3,
transient_colored_triangles.hlsl,vs,4756,0,0,0,
transient_colored_triangles.hlsl,ps,4440,0,0,2,
ui_render_target_preview.hlsl,vs,4120,0,0,0,
ui_render_target_preview.hlsl,ps,5556,1,0,9,
UIBackdropBlur.hlsl,vs,4280,0,0,0,
UIBackdropBlur.hlsl,ps,6076,25,0,0,
unlit_textured.hlsl,vs,4864,0,0,0,
unlit_textured.hlsl,ps,4788,1,0,0,
water_calm.hlsl,vs,5720,0,0,0,
water_calm.hlsl,ps,48292,6,0,20,
water_ocean.hlsl,vs,6300,0,0,2,
water_ocean.hlsl,ps,6916,1,0,7,
