headers,translation_unit
255,Runtime/App/RunFrame.cpp
253,Runtime/App/InputFrameExecution.cpp
251,Runtime/App/Run.cpp
249,Runtime/App/InputFrame.cpp
249,Runtime/Capture/RuntimeStressController.cpp
247,Runtime/UI/OperatorEditorFrameComposer.cpp
246,Runtime/App/InputRouter.Interactions.cpp
245,Runtime/Automation/InteractionAutomationController.cpp
241,Runtime/App/Init.cpp
239,Runtime/App/RunRender.cpp
238,Runtime/Scene/SceneController.Load.cpp
228,Runtime/App/ReplayRuntime.cpp
226,Runtime/App/ReplayValidation.Probes.cpp
226,Runtime/App/ReplayValidation.cpp
222,Runtime/Render/RuntimeRenderer.cpp
210,Runtime/Interaction/OperatorCommandTransaction.Commands.cpp
207,Runtime/Scene/SceneLoadTransaction.Reset.cpp
197,Runtime/Automation/InteractionAutomationReportWriter.cpp
194,Runtime/Render/UiTextPass.cpp
182,Runtime/App/ReplayScrubberTools.cpp
170,Runtime/Render/RenderResourceLifecycle.cpp
169,Runtime/Scene/SceneRequestExecution.cpp
156,Runtime/Scene/SceneLoadTransaction.Presentation.cpp
154,Runtime/Diagnostics/DiagnosticsRuntime.cpp
154,Runtime/Editor/EditorInteractionTools.cpp
154,Runtime/Render/RuntimeRenderPasses.cpp
147,Runtime/Diagnostics/RuntimeOverlayDiagnostics.cpp
146,Runtime/Editor/EditorTools.cpp
143,Runtime/Editor/EditorObjectPlacement.cpp
142,Runtime/Editor/EditorGizmoTools.cpp
141,Runtime/Scene/SceneGeneratedControlTransaction.cpp
136,Runtime/Tools/RuntimeTools.cpp
130,Runtime/Editor/EditorHistory.cpp
129,Runtime/Startup/StartupProbeHarnesses.cpp
128,Runtime/Editor/LauncherTools.cpp
128,Runtime/Scene/SceneAuthoredSetup.cpp
127,Runtime/Scene/SceneController.cpp
126,Runtime/Editor/EditorOverlayTools.cpp
126,Runtime/Editor/MousePickupTools.cpp
125,Runtime/Direction/LiveStyleController.cpp
124,Runtime/Scene/SceneLoadTransaction.Preparation.cpp
123,Runtime/Direction/DemoDirectorPlayback.cpp
122,Runtime/Scene/SceneController.Style.cpp
122,Runtime/UI/RuntimeViewModel.cpp
121,Runtime/Scene/SceneController.Navigation.cpp
120,Runtime/Scene/SceneController.Creation.cpp
120,Runtime/Scene/SceneGeneratedSetup.cpp
115,Runtime/Planning/ReplayOverlayRenderer.cpp
115,Runtime/Planning/ReplayPlanningRuntime.cpp
115,Runtime/Prediction/ReplayPrediction.cpp
114,Runtime/Prediction/ReplayPredictionPublication.cpp
111,Runtime/Prediction/ReplayPredictionTopologyPublication.cpp
110,Runtime/Prediction/ReplayPredictionDrawing.cpp
109,Runtime/Camera/CameraControlState.cpp
104,Runtime/Prediction/ReplayPredictionReserve.cpp
104,Runtime/Replay/ReplayRecorder.cpp
103,Runtime/Camera/AttachedCameraController.cpp
103,Runtime/Prediction/ReplayPredictionScheduling.cpp
103,Runtime/Render/RenderModelFramePublisher.cpp
103,Runtime/Replay/ReplayAuthoringVelocity.cpp
102,Runtime/Editor/EditorTracer.cpp
101,Runtime/Scene/SceneWorld.cpp
100,Runtime/DevelopmentTools/ImGuiEditorOwner.cpp
97,Runtime/Prediction/ReplayAuthoringCauseTree.cpp
96,Runtime/Prediction/ReplayCauseFocusSubmission.cpp
94,Runtime/Render/UiDrawSubmission.cpp
89,Runtime/Prediction/ReplayPredictionArchive.Automation.cpp
89,Runtime/Prediction/ReplayPredictionArchive.cpp
79,Runtime/Prediction/ReplayPredictionPresentation.cpp
75,Runtime/Replay/ReplayPresentation.cpp
73,Gameplay/TornadoVisualPass.cpp
73,Runtime/Diagnostics/RuntimeDiagnostics.cpp
70,Runtime/Replay/ReplayAuthoringCauseTreeInput.cpp
66,Runtime/Input/InputController.cpp
65,Rendering/RenderInstanceRenderer.cpp
62,Runtime/Debug/CollisionVisualizer.cpp
62,Runtime/Debug/PhysicsDebugVisualizer.cpp
62,Runtime/Planning/ReplayPlanningOverlayLayout.cpp
59,Runtime/Replay/ReplayOverlayLayout.cpp
58,Runtime/Planning/ReplayTripPlanner.cpp
56,Runtime/Planning/ReplayInterceptReadout.cpp
55,Physics/PhysicsWorld.cpp
55,Runtime/Replay/ReplayTimeline.cpp
54,Runtime/Replay/ReplayV2Artifact.cpp
52,Rendering/PrimitiveBatchRenderer.cpp
52,Runtime/Diagnostics/SceneMemoryDiagnostics.cpp
52,Runtime/Prediction/TrajectoryStore.cpp
52,Runtime/Replay/ReplayVisualPacketFingerprint.cpp
52,World/Terrain.cpp
51,Runtime/Camera/CameraCollection.cpp
50,Physics/PhysicsEngine.cpp
48,Runtime/Replay/ReplayArtifactHashLog.cpp
47,Rendering/DX12/RenderBackendDX12.cpp
47,Runtime/Automation/RuntimeValidationHarness.cpp
47,World/WorldEnvironment.cpp
46,Physics/PhysicsDiagnosticsSink.cpp
46,Rendering/DX12/RenderBackendDX12.Textures.cpp
46,Runtime/Debug/BroadphaseVisualizer.cpp
45,Physics/Diagnostics/SkullScope.cpp
45,Rendering/DX12/Dx12FrameOwner.cpp
45,Rendering/DX12/ShaderDX12.cpp
44,Assets/TextureCollection.cpp
44,Physics/SleepIslandSystem.cpp
44,Physics/Stages/PhysicsStepDiagnostics.cpp
44,Rendering/DX12/RenderBackendDX12.DXR.cpp
44,Rendering/DX12/RenderBackendDX12.Resources.cpp
44,Rendering/Text.cpp
44,Runtime/Editor/LauncherLaser.cpp
43,Rendering/DX12/Dx12Diagnostics.cpp
43,Rendering/DX12/Dx12GraphTransientPool.cpp
43,Rendering/DX12/Dx12ShaderDevelopment.cpp
43,Rendering/DX12/RenderBackendDX12.DynamicGeometry.cpp
43,Rendering/DX12/RenderBackendDX12.Pipeline.cpp
43,UI/UI.cpp
42,Rendering/DX12/Dx12ImGuiRendererOwner.cpp
42,Rendering/DX12/FramebufferDX12.cpp
42,Rendering/DX12/MeshDX12.cpp
42,UI/UIWindowInteractionOwner.cpp
41,Physics/Stages/PhysicsNarrowphaseStage.Execution.cpp
41,UI/UIEditorMiniPalette.cpp
41,UI/UIEditorMiniPaletteDraw.cpp
41,UI/UIFrameComposition.cpp
40,Physics/PersistentContactSolver.cpp
40,Physics/Stages/ExternalForceStage.cpp
39,Gameplay/TornadoGameplay.cpp
39,UI/UITabProfiler.cpp
39,UI/UIWindowChrome.cpp
38,Physics/Stages/PhysicsNarrowphaseStage.cpp
38,UI/UITabScene.cpp
37,Physics/Stages/PhysicsBroadphaseStage.cpp
37,Runtime/App/Window.cpp
37,UI/UITabCinematic.cpp
37,UI/UITabEditor.cpp
37,UI/UITabPhysics.cpp
37,UI/UITabProfilerHistogram.cpp
37,UI/UITabSky.cpp
36,Physics/Stages/PhysicsSleepController.Wake.cpp
36,Physics/Stages/PhysicsSleepController.cpp
36,Runtime/Editor/EditorPlacementAssets.cpp
36,UI/UITabControls.cpp
36,UI/UITabMemory.cpp
36,UI/UITabOptions.cpp
33,Physics/Stages/PhysicsForceStage.cpp
33,Physics/Stages/PhysicsTerrainStage.cpp
32,Physics/Stages/PhysicsSleepController.State.cpp
31,Physics/Stages/PhysicsContactSolverStage.cpp
31,Scene/SceneSnapshotWriter.cpp
29,Physics/PhysicsBodyStore.cpp
26,Physics/BuoyancySystem.cpp
26,Physics/ColliderStore.cpp
26,Physics/SpatialGrid.cpp
26,Scene/AuthoredSceneParser.cpp
26,Scene/AuthoredSceneParserAssets.cpp
26,Scene/AuthoredSceneParserBodies.cpp
26,Scene/AuthoredSceneParserPresentation.cpp
26,Scene/AuthoredSceneParserRuntime.cpp
25,Rendering/RenderInstanceStore.cpp
25,Runtime/Startup/StartupCommandLine.cpp
24,Runtime/Editor/EditorCommandHistory.cpp
24,Runtime/Interaction/RuntimePickService.cpp
24,Runtime/Scene/SceneSessionState.cpp
23,Runtime/Input/Input.cpp
23,World/SkyBox.cpp
22,Rendering/DX12/Dx12BackbufferCapture.cpp
21,Physics/TerrainContactManifold.cpp
21,Rendering/DX12/Dx12DeferredReleaseOwner.cpp
21,Runtime/Scene/SceneNavigationModel.cpp
20,Runtime/Input/InputRouter.cpp
20,Runtime/Interaction/OperatorCommandTransaction.cpp
18,Rendering/RenderGpuTimingOwner.cpp
17,Runtime/Startup/StartupLaunchResolution.cpp
16,Assets/AssetSystem.cpp
16,Physics/ObjectContactManifold.cpp
16,Scene/AuthoredScene.cpp
15,Physics/Ragdoll.cpp
14,Runtime/Interaction/RuntimePickGeometry.cpp
13,Rendering/DX12/RenderDeviceDX12.cpp
13,Rendering/DX12/TLASDX12.cpp
12,Physics/ConvexHullShape.cpp
12,Rendering/DX12/Dx12DescriptorHeaps.cpp
12,Rendering/DX12/SBTDX12.cpp
11,Rendering/DX12/BLASDX12.cpp
10,Core/Profiler.cpp
10,Physics/BoundingBox.cpp
10,Physics/BoundingSphere.cpp
10,Runtime/Diagnostics/DiagnosticsPhysicsUI.cpp
8,Core/AmortizedTask.cpp
8,Core/WorkerPool.cpp
8,Runtime/Scene/SceneSaveOperations.cpp
8,Runtime/Simulation/SimulationSystem.cpp
8,UI/OperatorEditorExchange.cpp
7,Core/TracyClientOwner.cpp
7,Runtime/Render/RenderDefaultsStore.Persistence.cpp
7,Runtime/Scene/SceneEntityStore.cpp
7,Runtime/UI/RenderDiagnosticsProjection.cpp
6,Core/Timer.cpp
6,Physics/PhysicsTerrainView.cpp
6,Runtime/Camera/Camera.cpp
6,Runtime/Capture/CaptureController.cpp
6,Runtime/Capture/CaptureSystem.cpp
6,Runtime/Input/InputController.Bindings.cpp
6,Runtime/Interaction/RuntimeInteractionController.cpp
6,UI/UIProfilerOverlayPresenter.cpp
5,Core/Allocation/RuntimeAllocationTracker.cpp
5,Core/Config.cpp
5,Gameplay/TornadoField.cpp
5,Maths/Matrix4.cpp
5,Rendering/DX12/ShaderBytecodeManifest.cpp
5,Runtime/Automation/InteractionAutomationInputDriver.cpp
5,Runtime/Planning/ReplayGuideArcs.cpp
5,Runtime/Planning/ReplayPorkchopPanel.cpp
5,Runtime/Render/RenderDefaultsStore.cpp
5,UI/UIDrawWidgets.cpp
4,Core/Allocation/DevelopmentToolAllocation.cpp
4,Core/PlatformProfiler.cpp
4,Maths/Frustum.cpp
4,Maths/GeometricMath.cpp
4,Maths/Quaternion.cpp
4,Rendering/DX12/Dx12CachedPsoStore.cpp
4,Rendering/RenderPipeline.cpp
4,Runtime/Direction/DemoDirector.cpp
4,Runtime/Scene/SceneRequestQueue.cpp
4,UI/UIButton.cpp
4,UI/UISlider.cpp
4,UI/UITabBar.cpp
3,Core/SbResult.cpp
3,Maths/OrbitalMechanics.cpp
3,Maths/RotationMatrix.cpp
3,Rendering/DX12/Dx12RenderGraphExecutor.cpp
3,Runtime/App/ApplicationExitState.cpp
3,Runtime/Diagnostics/DiagnosticsController.cpp
3,Runtime/Scene/SceneNavigationModel.Browser.cpp
3,Runtime/Startup/StartupCrashLogging.cpp
3,UI/UIBackdropBlur.cpp
3,UI/UICache.cpp
3,UI/UICheckBox.cpp
3,UI/UIComboBox.cpp
3,UI/UIDraw.cpp
3,UI/UIIconButton.cpp
3,UI/UILayout.cpp
3,UI/UIScrollBar.cpp
2,Core/Allocation/RuntimeReserveAllocator.cpp
2,Core/FatalError.cpp
2,Core/Log.cpp
2,Physics/PhysicsObjectPolicy.cpp
2,Rendering/RenderGraph.cpp
2,Runtime/Tools/RuntimeFileWriter.cpp
1,Core/LockOrderValidator.cpp
1,Rendering/DrawCallTrace.cpp
1,Runtime/DevelopmentTools/ImGuiEditorLayoutPolicy.cpp
1,UI/UIDrawList.cpp
1,UI/UIFontMetrics.cpp
1,UI/UIInput.cpp
1,UI/UIStyle.cpp
