frame,idx,name,posX,posY,posZ,velX,velY,velZ,speed,omegaX,omegaY,omegaZ,omegaMag,grounded
0,0,,574.8854,249.9005,669.1310,-13.7500,-11.9345,15.7143,24.0507,-14.6875,6.8750,-7.8125,18.0007,0
0,1,,788.0045,312.0632,751.0801,0.5395,7.5833,9.6184,12.2602,-17.5714,98.5714,-81.0000,128.7870,0
0,2,,487.9206,294.9488,705.9851,-9.5258,-6.1486,-1.7835,11.4772,23.9375,-68.5625,92.5000,117.6013,0
0,3,,734.9280,335.9163,531.9006,-8.6438,-10.0468,-11.9315,17.8330,-87.4444,-13.3333,74.1111,115.3983,0
0,4,,701.8836,235.9849,465.0149,-13.9636,-1.8167,1.7818,14.1936,-14.5833,72.1667,-57.5833,93.4695,0
0,5,,554.1086,323.0149,662.9012,13.0312,1.7865,-11.8594,17.7102,-36.3529,-93.7059,-57.3529,115.7225,0
0,6,,792.9479,266.0334,481.9389,-6.2551,4.0119,-7.3367,10.4427,16.7647,-78.3529,-61.5882,101.0611,0
0,7,,400.0357,164.1030,688.0662,4.2812,12.3646,7.9375,15.3041,165.7500,-97.7500,68.0000,204.0885,0
0,8,,722.0912,184.9094,604.9438,10.9529,-10.8755,-6.7412,16.8430,16.6316,79.1579,-95.7895,125.3723,0
0,9,,646.9736,120.9905,662.9632,-3.1628,-1.1376,-4.4186,5.5517,34.0000,-50.1538,-16.1538,62.7085,0
0,10,,545.1031,256.9804,602.9682,12.3750,-2.3472,-3.8194,13.1620,12.3636,-56.0000,68.3636,89.2325,0
0,11,,790.9910,193.0535,565.0137,-1.0870,6.4239,1.6377,6.7179,-19.9444,2.1111,-22.0556,29.8108,0
0,12,,636.9732,210.9314,689.9507,-3.2159,-8.2348,-5.9205,10.6399,-9.2778,-13.2222,22.5000,27.6975,0
0,13,,793.0874,300.9573,480.0060,10.4878,-5.1240,0.7195,11.6947,-49.4444,-102.1111,52.6667,125.0808,0
0,14,,734.8928,130.1092,731.0884,-12.8654,13.1026,10.6154,21.2104,10.7857,87.2143,-98.0000,131.6308,0
0,15,,596.9068,262.9343,417.0109,-11.1860,-7.8818,1.3023,13.7458,47.1250,-67.1250,20.0000,84.4188,0
0,16,,430.9385,329.9751,639.0812,-7.3810,-2.9881,9.7460,12.5854,37.6667,89.9167,52.2500,110.6067,0
0,17,,706.0204,107.9045,497.0201,2.4459,-11.4572,2.4054,11.9598,-45.6429,-0.2143,45.4286,64.3978,0
0,18,,739.9153,306.0804,707.9630,-10.1558,9.6483,-4.4416,14.6955,85.9231,86.4615,-0.5385,121.8961,0
0,19,,584.9261,276.0438,454.0568,-8.8625,5.2583,6.8125,12.3533,-13.0000,179.1429,-166.1429,244.6725,0
1,0,,574.7709,249.7976,669.2620,-13.7500,-12.3512,15.7143,24.2601,-4.0797,1.9097,-2.1701,5.0000,0
