frame,idx,name,posX,posY,posZ,velX,velY,velZ,speed,omegaX,omegaY,omegaZ,omegaMag,qX,qY,qZ,qW,grounded,sleeping,sleepInhibited,sleepCounter,islandRoot,bodyEligible,islandEligible,topologyStable,islandCanSleep,contactRows,maxPenetration,maxSeparationBias,maxClosingSpeed,maxSlipSpeed,maxImpulse,resetReason
0,0,target_ball_00,528.4094,100.0000,434.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,1,0.000000,0.000000,12000.000000,0.000000,3034.980225,1
0,1,target_ball_01,528.4094,100.0000,448.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,1,0.000000,0.000000,12000.000000,0.000000,3034.980225,1
0,2,target_ball_02,528.4094,100.0000,462.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,1,0.000000,0.000000,12000.000000,0.000000,3034.980225,1
0,3,target_ball_03,528.4094,100.0000,476.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,3,0,0,1,0,1,0.000000,0.000000,12000.000000,0.000000,3034.980225,1
0,4,target_ball_04,528.4094,100.0000,490.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,4,0,0,1,0,1,0.000000,0.000000,12000.000000,0.000000,3034.980225,1
0,5,shot_00,516.3623,100.0000,434.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,1,0.000000,0.000000,12000.000000,0.000000,3034.980225,1
0,6,shot_01,516.3623,100.0000,448.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,1,0.000000,0.000000,12000.000000,0.000000,3034.980225,1
0,7,shot_02,516.3623,100.0000,462.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,1,0.000000,0.000000,12000.000000,0.000000,3034.980225,1
0,8,shot_03,516.3623,100.0000,476.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,3,0,0,1,0,1,0.000000,0.000000,12000.000000,0.000000,3034.980225,1
0,9,shot_04,516.3623,100.0000,490.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,4,0,0,1,0,1,0.000000,0.000000,12000.000000,0.000000,3034.980225,1
0,10,shot_05,513.9598,100.0000,506.0000,-1007.0586,0.0000,0.0000,1007.0586,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,10,0,0,1,0,1,0.000183,0.000000,12000.000000,0.000000,3251.764648,1
0,11,shot_06,516.8550,100.0000,511.1219,78.7370,0.0000,-3193.1880,3194.1587,0.0000,2.1906,0.0000,2.1906,0.000000,0.003101,0.000000,0.999995,0,0,0,0,11,0,0,1,0,1,0.000664,0.000000,11591.350586,3104.931152,3085.378418,1
0,12,shot_07,516.8563,108.8799,534.0000,79.2185,3193.8142,0.0000,3194.7966,0.0000,0.0000,-0.5352,0.5352,0.000000,0.000000,-0.000758,1.000000,0,0,0,0,12,0,0,1,0,1,0.000660,0.000000,11591.167969,3105.616211,3085.302490,1
0,13,shot_08,522.6997,105.3109,535.2741,2261.6929,1894.4381,-4539.4458,5413.9375,0.5752,2.1097,-0.3535,2.2152,0.000821,0.003012,-0.000505,0.999995,0,0,0,0,13,0,0,1,0,1,0.000482,0.000000,10711.100586,5410.389648,2727.522705,1
0,14,shot_09,521.6486,113.0198,559.7023,1870.3160,4651.8555,-820.9362,5080.5293,-0.1875,-0.5486,-0.7959,0.9847,-0.000267,-0.000782,-0.001134,0.999999,0,0,0,0,14,0,0,1,0,1,0.000000,0.000000,10875.564453,5071.693359,2794.237549,1
0,15,target_box_05,526.0067,100.0000,506.0000,2167.8433,0.0000,0.0000,2167.8433,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,10,0,0,1,0,1,0.000183,0.000000,12000.000000,0.000000,3251.764648,1
0,16,target_box_06,525.5242,100.0000,521.4797,1986.8772,0.0000,532.1981,2056.9189,0.0000,298.3754,0.0000,298.3754,0.000000,0.281075,0.000000,0.959686,0,0,0,0,11,0,0,1,0,1,0.000664,0.000000,11591.350586,3104.931152,3085.378418,1
0,17,target_box_07,525.5239,98.5200,534.0000,1986.7969,-532.3024,0.0000,2056.8684,0.0000,0.0000,298.4415,298.4415,0.000000,0.000000,0.281163,0.959660,0,0,0,0,12,0,0,1,0,1,0.000660,0.000000,11591.167969,3105.616211,3085.302490,1
