frame,idx,name,posX,posY,posZ,velX,velY,velZ,speed,omegaX,omegaY,omegaZ,omegaMag,qX,qY,qZ,qW,grounded,sleeping,sleepInhibited,sleepCounter,islandRoot,bodyEligible,islandEligible,topologyStable,islandCanSleep,contactRows,maxPenetration,maxSeparationBias,maxClosingSpeed,maxSlipSpeed,maxImpulse,resetReason
0,0,chaos_a,-54.9081,100.0000,-8.0999,11.0238,0.0000,-11.9876,16.2858,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,1,chaos_b,41.9498,100.0000,15.1168,-6.0298,0.0000,14.0176,15.2595,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,2,chaos_c,3.9752,100.0000,57.9329,-2.9771,0.0000,-8.0488,8.5817,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,0,chaos_a,-54.8161,100.0000,-8.1997,11.0476,0.0000,-11.9752,16.2928,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,1,chaos_b,41.8993,100.0000,15.2338,-6.0597,0.0000,14.0353,15.2875,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,2,chaos_c,3.9506,100.0000,57.8654,-2.9540,0.0000,-8.0977,8.6197,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,0,chaos_a,-54.7238,100.0000,-8.2994,11.0714,0.0000,-11.9627,16.2997,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,1,chaos_b,41.8485,100.0000,15.3509,-6.0897,0.0000,14.0530,15.3157,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,2,chaos_c,3.9262,100.0000,57.7976,-2.9307,0.0000,-8.1469,8.6580,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,0,chaos_a,-54.6313,100.0000,-8.3990,11.0952,0.0000,-11.9501,16.3067,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,1,chaos_b,41.7975,100.0000,15.4681,-6.1199,0.0000,14.0707,15.3440,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,2,chaos_c,3.9019,100.0000,57.7293,-2.9071,0.0000,-8.1962,8.6965,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
4,0,chaos_a,-54.5387,100.0000,-8.4984,11.1190,0.0000,-11.9375,16.3137,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
4,1,chaos_b,41.7463,100.0000,15.5855,-6.1503,0.0000,14.0885,15.3724,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
4,2,chaos_c,3.8779,100.0000,57.6605,-2.8832,0.0000,-8.2456,8.7352,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
5,0,chaos_a,-54.4458,100.0000,-8.5978,11.1429,0.0000,-11.9248,16.3207,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
5,1,chaos_b,41.6948,100.0000,15.7031,-6.1808,0.0000,14.1063,15.4010,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
5,2,chaos_c,3.8541,100.0000,57.5914,-2.8591,0.0000,-8.2953,8.7742,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
6,0,chaos_a,-54.3528,100.0000,-8.6971,11.1668,0.0000,-11.9120,16.3277,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
6,1,chaos_b,41.6430,100.0000,15.8208,-6.2115,0.0000,14.1242,15.4297,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
6,2,chaos_c,3.8305,100.0000,57.5219,-2.8347,0.0000,-8.3451,8.8134,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
7,0,chaos_a,-54.2595,100.0000,-8.7962,11.1907,0.0000,-11.8992,16.3347,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
7,1,chaos_b,41.5910,100.0000,15.9386,-6.2423,0.0000,14.1422,15.4586,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
7,2,chaos_c,3.8070,100.0000,57.4519,-2.8100,0.0000,-8.3951,8.8529,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
8,0,chaos_a,-54.1661,100.0000,-8.8953,11.2146,0.0000,-11.8862,16.3417,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
8,1,chaos_b,41.5387,100.0000,16.0567,-6.2733,0.0000,14.1601,15.4875,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
8,2,chaos_c,3.7838,100.0000,57.3815,-2.7851,0.0000,-8.4453,8.8927,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
9,0,chaos_a,-54.0724,100.0000,-8.9942,11.2385,0.0000,-11.8733,16.3487,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
9,1,chaos_b,41.4862,100.0000,16.1748,-6.3044,0.0000,14.1782,15.5166,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
9,2,chaos_c,3.7608,100.0000,57.3107,-2.7599,0.0000,-8.4956,8.9327,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
10,0,chaos_a,-53.9786,100.0000,-9.0931,11.2625,0.0000,-11.8602,16.3557,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
10,1,chaos_b,41.4334,100.0000,16.2931,-6.3357,0.0000,14.1962,15.5459,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
10,2,chaos_c,3.7380,100.0000,57.2395,-2.7345,0.0000,-8.5461,8.9729,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
11,0,chaos_a,-53.8845,100.0000,-9.1918,11.2864,0.0000,-11.8471,16.3627,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
